locality,house_size,n_bedroom,n_bathroom,n_room,sale_cond,park_facil,utility_avail,street,mzzone,sales_price,built_year,age,buildtype_Commercial,buildtype_House,buildtype_Others
1,1290,1,1,3,5,1,4,2,4,8201955,1961,48,0,1,0
1,507,1,1,2,3,1,1,3,4,6054496,1964,46,0,1,0
5,2492,4,2,6,3,0,2,2,5,19867776,1993,16,1,0,0
1,851,1,1,2,1,0,4,1,2,3779441,1982,29,0,1,0
7,1882,2,1,5,3,1,1,3,6,16757850,1985,21,0,0,1
6,1710,1,1,4,4,1,4,3,4,21186337,1998,11,1,0,0
1,1412,2,2,4,5,0,1,3,5,8823087,1982,28,0,1,0
2,779,1,1,2,4,0,3,1,2,5512842,1997,9,0,1,0
7,1655,1,1,4,3,0,4,3,4,13163828,1980,34,0,0,1
1,940,1,1,3,5,0,4,2,4,6185784,1961,49,0,1,0
5,1667,2,1,4,1,1,2,2,6,11362753,2007,5,0,1,0
5,1926,3,2,5,2,1,2,2,6,17976166,1999,9,1,0,0
2,718,1,1,2,1,1,1,1,2,5837413,1977,30,0,0,1
1,545,1,1,2,1,0,1,1,4,4108764,1982,30,0,0,1
1,1249,1,1,3,5,1,1,3,4,9033213,1973,36,0,0,1
7,1894,2,1,5,1,1,3,3,5,14118319,1968,45,0,1,0
1,1469,2,2,4,3,0,3,1,2,9897904,2006,5,1,0,0
2,916,1,1,3,4,1,1,1,1,6098963,1980,28,0,1,0
3,934,1,1,3,5,1,2,2,6,10079914,1986,22,0,1,0
1,1691,2,2,4,3,0,2,3,6,9896884,1980,31,0,1,0
1,1236,1,1,3,4,0,3,2,3,9255369,1972,39,1,0,0
7,1577,1,1,4,1,1,2,2,4,12582910,1971,36,0,0,1
6,1915,2,1,5,1,1,2,3,4,14700118,1970,41,0,0,1
6,1600,1,1,4,2,1,1,3,4,12397652,1991,21,0,1,0
4,1579,2,1,4,3,1,1,2,3,14073061,1987,24,1,0,0
2,1260,2,2,4,1,0,2,1,1,7213740,1983,25,0,0,1
2,1021,1,1,3,4,0,2,2,3,12210141,2004,5,1,0,0
5,2174,3,2,5,2,1,4,2,6,13932343,1988,23,0,0,1
6,1589,1,1,4,1,0,4,3,5,12749693,1966,44,0,0,1
2,668,1,1,2,3,1,2,3,3,10715485,2005,5,1,0,0
4,1724,2,1,4,3,1,1,1,5,9466999,1952,54,0,1,0
2,890,1,1,3,3,1,3,2,2,7482031,1981,30,0,1,0
2,1218,2,2,4,4,0,4,1,3,13090419,1977,30,1,0,0
6,1792,1,1,4,2,1,1,3,6,14671115,1990,21,0,1,0
1,1378,2,2,4,5,0,3,3,6,10423293,2003,9,0,0,1
1,898,1,1,3,1,1,3,2,4,9190684,1980,29,1,0,0
6,1928,2,1,5,1,0,4,1,4,12238735,2001,10,0,1,0
3,1233,2,1,4,3,0,2,3,6,10170568,1975,33,0,1,0
4,1618,2,1,4,5,1,3,2,2,9726203,1967,40,0,0,1
1,627,1,1,2,2,0,3,3,6,6903700,1983,28,0,1,0
4,1563,2,1,4,2,0,2,3,6,10299127,1977,28,0,1,0
1,1693,2,2,4,4,1,3,3,2,13351965,2003,6,1,0,0
7,1522,1,1,4,1,0,4,3,5,18135236,1966,43,1,0,0
2,1090,1,1,3,1,1,2,3,4,10304376,1980,28,0,0,1
3,1085,1,1,3,3,1,3,3,5,14851860,2008,6,1,0,0
7,1687,1,1,4,3,0,3,2,4,13113085,1996,13,0,0,1
2,692,1,1,2,4,1,4,2,4,10900422,1971,37,1,0,0
7,1518,1,1,4,2,1,4,2,4,18216248,1971,37,1,0,0
2,1025,1,1,3,1,0,2,2,3,11426944,1983,25,1,0,0
5,2170,3,2,5,2,1,3,3,5,13250584,2002,8,0,1,0
3,969,1,1,3,2,1,1,1,4,11732447,1994,17,1,0,0
5,1546,2,1,4,3,0,4,3,6,14825026,1981,27,1,0,0
5,1709,2,1,4,3,1,2,2,5,10861682,1989,20,0,1,0
7,1659,1,1,4,5,1,2,1,5,14188956,1995,18,0,0,1
3,755,1,1,2,4,0,1,3,6,11060310,1982,33,1,0,0
2,1182,1,1,3,4,1,4,1,5,10281471,1990,17,0,1,0
2,735,1,1,2,5,0,2,1,4,9895773,1998,14,1,0,0
3,1089,1,1,3,4,1,1,2,5,9330756,1981,32,0,1,0
4,1534,2,1,4,1,1,1,2,2,8251996,1952,53,0,0,1
6,1622,1,1,4,2,1,1,3,5,13651305,2002,5,0,1,0
5,2198,3,2,5,1,1,3,3,6,14386494,1987,21,0,0,1
3,1293,2,1,4,4,0,1,1,5,13693157,1975,39,1,0,0
5,1641,2,1,4,1,0,4,3,5,10663419,1980,29,0,0,1
4,1950,3,2,5,5,1,2,2,5,12602262,1964,41,0,0,1
1,1245,1,1,3,1,0,2,2,1,5233151,1983,28,0,0,1
3,905,1,1,3,2,0,1,3,4,8003625,1976,33,0,0,1
5,1496,2,1,4,2,0,3,3,4,8971826,1998,14,0,1,0
4,1892,3,2,5,5,1,1,3,6,12729658,1969,36,0,1,0
4,1517,2,1,4,2,0,1,2,2,12196843,1999,11,1,0,0
2,1034,1,1,3,5,1,1,3,2,9580726,1993,16,0,0,1
4,1755,2,1,4,2,1,3,3,3,15691527,1974,35,1,0,0
6,1622,1,1,4,5,1,2,2,6,14198084,2006,7,0,1,0
3,1092,1,1,3,4,0,4,1,4,8516922,2009,4,0,0,1
3,821,1,1,3,5,0,2,2,4,7552336,2006,8,0,1,0
5,1694,2,1,4,2,0,2,3,5,10858491,1997,11,0,0,1
6,1809,2,1,5,2,0,4,1,5,19955937,1984,26,1,0,0
1,1401,2,2,4,1,1,4,3,5,10633056,1997,14,0,0,1
1,1470,2,2,4,3,0,3,1,4,7682662,1986,25,0,0,1
3,798,1,1,2,1,0,3,2,4,9469654,1976,37,1,0,0
3,764,1,1,2,1,0,1,1,4,5919689,2000,8,0,1,0
3,1135,1,1,3,3,0,3,1,6,9697353,1985,23,0,0,1
1,939,1,1,3,3,0,1,1,3,4547346,1971,38,0,1,0
1,1586,2,2,4,4,1,3,3,6,15103380,1981,28,1,0,0
7,1973,2,1,5,2,1,4,3,6,24309201,1972,35,1,0,0
3,1023,1,1,3,1,1,4,2,6,10056410,1990,17,0,1,0
3,884,1,1,3,4,0,3,1,6,11665156,2006,4,1,0,0
6,1640,1,1,4,5,0,1,1,4,18391963,2005,5,1,0,0
2,622,1,1,2,4,0,1,1,5,6862108,1987,20,0,0,1
6,1880,2,1,5,1,1,2,1,6,14121017,1993,16,0,1,0
5,2413,4,2,6,3,0,2,2,6,13712532,2001,9,0,0,1
7,1649,1,1,4,5,0,4,3,4,19734543,1984,25,1,0,0
4,1729,2,1,4,1,1,3,2,1,13328517,1967,41,1,0,0
7,1942,2,1,5,2,0,2,3,4,12712993,1977,37,0,1,0
3,711,1,1,2,5,1,2,1,5,8364230,2002,12,0,0,1
3,885,1,1,3,2,0,1,1,6,7539941,1981,32,0,1,0
5,1688,2,1,4,3,1,3,3,6,12245828,1994,15,0,1,0
2,1236,2,2,4,2,0,1,3,1,12540840,1970,37,1,0,0
1,926,1,1,3,2,0,1,3,5,7234604,1991,20,0,1,0
5,1686,2,1,4,3,0,2,2,6,10925799,1985,24,0,0,1
1,1344,2,2,4,5,0,3,3,4,11522927,1959,50,1,0,0
5,1437,2,1,4,2,0,4,3,6,10792235,1989,23,0,0,1
1,1430,2,2,4,3,1,3,1,1,6980809,1999,10,0,0,1
2,1081,1,1,3,2,0,4,1,2,6437756,1978,30,0,1,0
1,1352,2,2,4,4,1,1,3,1,6871656,1983,27,0,1,0
5,1986,3,2,5,4,0,4,3,6,12054125,1979,30,0,1,0
6,1758,1,1,4,1,1,4,1,5,20230531,1966,42,1,0,0
1,607,1,1,2,4,0,2,3,5,6149457,1964,46,0,0,1
5,2139,3,2,5,4,1,3,2,5,13145488,1987,21,0,0,1
5,1488,2,1,4,1,0,4,2,4,9049717,1983,27,0,0,1
4,1645,2,1,4,1,0,2,1,4,7905231,1980,26,0,1,0
3,950,1,1,3,4,1,2,3,5,10178637,1983,26,0,0,1
3,928,1,1,3,1,1,4,3,4,12895904,2010,4,1,0,0
4,1693,2,1,4,4,1,3,2,6,16208565,1955,53,1,0,0
4,1873,3,2,5,2,1,1,1,5,11584406,1986,21,0,0,1
2,721,1,1,2,1,0,2,2,5,7940194,2000,10,0,0,1
1,1190,1,1,3,2,1,3,3,4,8437847,1982,29,0,1,0
5,1593,2,1,4,1,0,4,2,4,9573076,1994,17,0,0,1
3,786,1,1,2,3,1,1,3,5,9577633,1998,12,0,0,1
3,1195,1,1,3,5,0,2,2,5,10116248,1992,19,0,0,1
4,1824,3,2,5,4,0,3,2,3,8899572,1976,33,0,1,0
5,1906,3,2,5,3,1,2,2,4,16851463,2001,7,1,0,0
2,656,1,1,2,3,0,4,2,3,9151728,2001,9,1,0,0
3,727,1,1,2,3,0,1,3,6,8735798,1991,16,0,0,1
2,931,1,1,3,2,1,1,2,6,10323083,1977,33,0,0,1
4,1898,3,2,5,5,1,1,1,6,17531842,1969,38,1,0,0
6,1698,1,1,4,2,0,2,3,6,12970592,1967,40,0,1,0
7,1926,2,1,5,5,1,3,1,6,23467870,1990,17,1,0,0
1,1481,2,2,4,1,1,4,2,1,10564901,1972,38,1,0,0
6,1506,1,1,4,2,0,1,1,6,11045554,1974,33,0,1,0
3,1020,1,1,3,2,0,2,1,6,8187058,1990,24,0,1,0
3,889,1,1,3,3,0,1,3,6,9535416,1987,21,0,0,1
3,1015,1,1,3,2,1,4,2,4,8684907,1977,35,0,1,0
7,1682,1,1,4,3,0,4,3,4,19464831,1976,35,1,0,0
3,869,1,1,3,2,0,3,1,6,8532226,1995,18,0,0,1
1,1445,2,2,4,2,0,2,1,3,6161039,1988,24,0,1,0
6,1919,2,1,5,1,1,2,3,6,15365847,2001,13,0,1,0
2,1243,2,2,4,4,1,2,2,2,13828056,1975,36,1,0,0
1,857,1,1,2,4,0,1,2,3,5223945,1993,17,0,1,0
1,1055,1,1,3,5,1,2,3,3,7658936,1962,48,0,0,1
5,1778,3,2,5,2,0,3,3,5,11493244,2003,8,0,0,1
1,851,1,1,2,5,0,1,2,1,4156812,1970,41,0,0,1
3,1021,1,1,3,1,1,3,1,5,9625051,2004,4,0,0,1
5,2203,3,2,5,3,1,3,2,5,18803694,1988,22,1,0,0
1,613,1,1,2,2,0,3,1,3,5406870,1980,30,1,0,0
2,738,1,1,2,1,0,3,1,3,8645177,1989,18,1,0,0
1,1489,2,2,4,5,0,1,3,4,8591779,1982,29,0,1,0
1,795,1,1,2,3,1,3,3,6,8860817,2000,9,0,1,0
4,1909,3,2,5,2,1,4,3,1,10645747,1979,33,0,0,1
3,1252,2,1,4,2,0,4,1,6,9795113,1999,12,0,1,0
1,1077,1,1,3,3,0,1,2,6,10398168,1978,33,1,0,0
5,1524,2,1,4,4,0,3,2,4,9187694,1981,27,0,0,1
3,1049,1,1,3,1,1,1,3,6,10724260,1997,11,0,1,0
4,1780,2,1,4,3,0,4,3,2,9130616,1953,55,0,0,1
3,946,1,1,3,5,0,1,1,5,11645669,1991,17,1,0,0
3,906,1,1,3,1,1,3,3,6,9796068,1976,32,0,1,0
5,2344,4,2,6,3,0,2,3,6,19943173,1986,24,1,0,0
2,929,1,1,3,5,1,2,2,4,9897563,1994,15,0,0,1
6,1843,2,1,5,5,0,1,1,5,12730811,1994,15,0,1,0
6,1918,2,1,5,1,1,4,3,5,22903178,1974,35,1,0,0
5,1507,2,1,4,4,1,4,2,4,14418587,1989,19,1,0,0
5,1499,2,1,4,2,0,4,3,4,9435528,2005,6,0,1,0
5,1526,2,1,4,4,1,4,2,4,14491033,1990,22,1,0,0
6,1855,2,1,5,3,1,3,2,4,22025014,1999,10,1,0,0
1,1627,2,2,4,4,1,1,2,4,9479325,1981,30,0,0,1
4,1846,3,2,5,3,0,4,3,6,11324174,1970,39,0,1,0
5,2019,3,2,5,3,1,3,2,6,13634663,1994,16,0,0,1
1,1578,2,2,4,4,1,4,3,3,10066321,1998,13,0,0,1
4,1780,2,1,4,2,1,2,1,2,13973995,1983,25,1,0,0
1,662,1,1,2,1,0,2,1,2,4565613,1973,38,1,0,0
3,1005,1,1,3,2,0,3,3,5,12796413,1984,26,1,0,0
1,839,1,1,2,1,0,2,2,2,4342430,1990,20,0,1,0
6,1698,1,1,4,1,0,4,1,6,12011582,1974,34,0,1,0
2,878,1,1,3,1,1,3,2,1,6685085,1989,19,0,1,0
3,835,1,1,3,1,1,1,2,6,8696227,1971,37,0,1,0
3,911,1,1,3,1,1,1,1,4,7710077,1978,33,0,0,1
4,1796,2,1,4,5,1,1,1,4,9542407,1956,50,0,1,0
1,1004,1,1,3,5,0,1,1,2,4990626,1981,28,0,0,1
6,1694,1,1,4,4,0,2,2,5,13166035,1982,27,0,0,1
1,1244,1,1,3,3,1,4,3,3,8342435,1980,31,0,0,1
1,588,1,1,2,1,0,4,2,5,5990775,1986,24,0,0,1
5,2342,4,2,6,5,1,3,2,5,13646867,2004,7,0,1,0
4,1835,3,2,5,4,0,4,2,5,11323045,1978,29,0,0,1
6,1977,2,1,5,1,1,4,3,5,14737593,1964,43,0,1,0
5,1961,3,2,5,3,1,2,3,6,18792965,1996,15,1,0,0
4,1517,2,1,4,4,1,3,1,1,7489941,1992,12,0,1,0
5,2409,4,2,6,1,1,2,3,5,14325499,1984,25,0,0,1
4,1864,3,2,5,1,0,1,3,4,15810287,1982,23,1,0,0
4,1643,2,1,4,2,1,4,2,6,16425768,1977,31,1,0,0
2,1015,1,1,3,2,1,3,1,2,11707278,2004,8,1,0,0
6,1700,1,1,4,4,1,3,1,4,13075938,1977,32,0,0,1
1,624,1,1,2,2,0,1,1,2,4690799,1979,31,1,0,0
3,980,1,1,3,4,0,3,2,5,12412482,1991,17,1,0,0
1,1003,1,1,3,3,1,2,3,4,10624770,1990,20,1,0,0
2,1072,1,1,3,2,1,2,1,1,6905036,2003,6,0,1,0
1,808,1,1,2,5,0,2,3,2,5004120,1975,35,0,1,0
3,1027,1,1,3,4,0,1,2,4,7701797,1990,21,0,1,0
1,696,1,1,2,4,0,2,3,5,6731106,1999,11,0,1,0
4,1716,2,1,4,2,1,1,2,5,10929652,2002,8,0,1,0
4,1878,3,2,5,2,0,4,2,2,15159786,2005,6,1,0,0
5,1699,2,1,4,4,1,2,3,5,12027749,1995,16,0,0,1
5,1626,2,1,4,3,0,4,2,6,10164294,1988,24,0,1,0
5,1730,2,1,4,4,0,3,3,5,15564764,1990,18,1,0,0
3,996,1,1,3,2,0,1,3,5,9386601,1985,22,0,0,1
3,1277,2,1,4,5,1,4,1,6,16275974,1998,16,1,0,0
3,906,1,1,3,4,0,2,2,4,10584531,1981,32,1,0,0
6,1976,2,1,5,1,0,2,2,5,12779752,1972,39,0,1,0
4,1776,2,1,4,4,1,2,2,4,10398726,1989,21,0,1,0
1,1402,2,2,4,4,0,2,3,3,7335725,1981,30,0,1,0
3,1160,1,1,3,5,1,4,1,4,9823528,1978,30,0,0,1
4,1957,3,2,5,4,1,1,1,3,15989821,1981,25,1,0,0
7,1887,2,1,5,5,0,3,1,5,21421926,1992,20,1,0,0
4,1859,3,2,5,4,1,1,2,4,10361919,1960,48,0,1,0
3,747,1,1,2,2,1,4,1,6,11717387,2001,5,1,0,0
2,985,1,1,3,1,1,2,2,2,7689444,2002,7,0,1,0
3,1024,1,1,3,4,1,4,1,4,12502508,1996,16,1,0,0
4,1600,2,1,4,2,1,1,2,5,10940878,1984,25,0,0,1
3,1276,2,1,4,4,0,2,2,5,10084326,1977,36,0,0,1
3,1159,1,1,3,2,1,1,3,4,9425312,1974,36,0,1,0
1,1024,1,1,3,3,1,2,1,2,5009668,1962,50,0,1,0
2,1249,2,2,4,5,0,3,2,1,13236472,1991,19,1,0,0
3,839,1,1,3,4,1,4,3,4,9435297,1994,16,0,0,1
3,1286,2,1,4,3,0,4,1,6,9565199,1973,34,0,1,0
5,2467,4,2,6,5,0,4,3,5,13372022,1995,16,0,1,0
1,653,1,1,2,5,0,1,1,6,8093365,1995,15,1,0,0
1,606,1,1,2,2,1,2,3,6,8325240,1993,17,0,0,1
7,1837,2,1,5,5,1,1,1,5,13791106,1978,29,0,1,0
4,1880,3,2,5,2,1,2,1,2,14216456,1965,46,1,0,0
5,2189,3,2,5,5,1,4,3,4,19253603,1988,23,1,0,0
4,1853,3,2,5,5,1,3,2,2,15575062,1958,49,1,0,0
3,1057,1,1,3,4,0,4,2,5,9400896,1997,17,0,0,1
2,723,1,1,2,2,0,1,3,6,11441627,1979,28,1,0,0
7,1812,2,1,5,2,0,1,1,5,12922315,1966,44,0,0,1
7,1788,1,1,4,5,1,1,1,5,14808412,1991,17,0,0,1
4,1615,2,1,4,3,0,1,2,3,8436282,1985,19,0,1,0
6,1755,1,1,4,5,0,3,1,5,11900953,1971,43,0,1,0
2,1296,2,2,4,2,0,4,1,6,10338673,1988,20,0,1,0
5,1554,2,1,4,3,1,2,2,5,10688922,2004,6,0,1,0
6,1737,1,1,4,5,1,4,3,5,14893077,2005,9,0,1,0
1,785,1,1,2,2,1,4,1,3,6046272,1997,12,0,0,1
1,1678,2,2,4,1,1,2,3,2,12560595,1976,35,1,0,0
5,2360,4,2,6,4,1,3,2,6,21005151,2002,9,1,0,0
5,1464,2,1,4,2,1,3,2,4,9920740,1982,28,0,0,1
5,1632,2,1,4,1,1,4,3,4,11283896,1992,19,0,0,1
4,1755,2,1,4,3,1,1,1,2,9157147,1980,26,0,0,1
4,1556,2,1,4,1,0,2,2,5,9768764,1989,20,0,0,1
2,1170,1,1,3,5,0,2,3,4,9490994,1975,36,0,1,0
2,901,1,1,3,1,0,4,3,3,7994845,1969,37,0,0,1
1,1160,1,1,3,1,1,2,3,1,9534946,1990,19,1,0,0
1,1570,2,2,4,2,1,3,1,1,6778606,2002,8,0,1,0
1,1476,2,2,4,3,0,3,2,5,12239696,1979,32,1,0,0
1,586,1,1,2,2,1,1,2,3,5674312,1993,19,0,0,1
1,1059,1,1,3,4,1,4,2,5,8343753,1977,33,0,1,0
7,1712,1,1,4,3,1,3,3,5,14432415,2005,6,0,1,0
2,847,1,1,3,1,0,2,3,4,7791992,1968,39,0,0,1
1,1192,1,1,3,2,0,3,1,3,5678812,1988,23,0,1,0
4,1942,3,2,5,1,1,4,1,5,17120558,1981,25,1,0,0
1,557,1,1,2,2,1,1,1,3,4988023,1992,17,0,0,1
4,1728,2,1,4,4,1,1,3,3,15643404,1990,19,1,0,0
4,1798,2,1,4,2,1,4,3,6,17776916,1979,29,1,0,0
1,1497,2,2,4,1,1,4,3,1,7319928,1976,35,0,1,0
3,1173,1,1,3,4,1,2,1,4,8483274,1977,32,0,1,0
6,1640,1,1,4,1,1,3,1,4,18519085,1977,36,1,0,0
5,1747,2,1,4,1,1,2,2,5,11323914,1992,17,0,0,1
1,1342,2,2,4,3,1,1,1,3,10093152,1967,43,1,0,0
7,2000,2,1,5,5,0,3,1,6,14127168,1980,27,0,1,0
4,1987,3,2,5,2,0,2,3,4,11747605,1995,11,0,0,1
1,1567,2,2,4,2,0,4,3,2,8166250,1992,17,0,0,1
1,1188,1,1,3,1,0,4,1,6,10379212,1977,34,1,0,0
2,737,1,1,2,2,0,3,1,1,4047163,1978,32,0,1,0
1,785,1,1,2,5,1,2,2,2,6197930,1997,13,0,0,1
5,2078,3,2,5,3,0,2,2,4,10278629,1990,21,0,1,0
2,647,1,1,2,2,1,4,1,4,10024553,1997,10,1,0,0
1,1171,1,1,3,5,1,4,1,1,6493193,1993,16,0,0,1
5,2435,4,2,6,1,1,3,3,6,21461141,1991,18,1,0,0
4,1805,3,2,5,5,1,4,2,5,17810855,1990,16,1,0,0
1,1145,1,1,3,4,0,4,3,1,5857396,1992,17,0,1,0
1,971,1,1,3,4,0,4,2,5,6974574,1983,28,0,1,0
1,1657,2,2,4,3,1,2,3,5,10877718,1970,39,0,0,1
4,1638,2,1,4,5,1,3,1,4,10123254,2002,5,0,1,0
2,1284,2,2,4,4,1,1,2,5,16864527,2005,5,1,0,0
2,1273,2,2,4,3,0,1,1,1,7779564,2005,6,0,0,1
3,1185,1,1,3,4,1,1,3,5,10539031,1993,20,0,1,0
7,1538,1,1,4,2,1,3,3,5,20423305,2004,5,1,0,0
5,1929,3,2,5,4,0,4,2,4,10703027,1978,30,0,0,1
5,1656,2,1,4,3,1,3,2,6,11466516,1996,15,0,1,0
2,1287,2,2,4,2,1,2,3,3,15734279,1995,15,1,0,0
7,1749,1,1,4,3,0,2,1,4,12240513,1979,32,0,0,1
6,1585,1,1,4,2,0,4,1,5,17956422,1995,17,1,0,0
7,1962,2,1,5,4,1,3,2,6,16497510,1977,34,0,0,1
5,1425,2,1,4,4,0,3,2,5,9050403,1995,14,0,1,0
1,884,1,1,2,4,1,3,2,3,8738038,1984,26,1,0,0
3,1052,1,1,3,4,0,3,1,4,8291370,2004,10,0,0,1
7,1756,1,1,4,1,0,2,3,5,12710342,1983,31,0,1,0
1,523,1,1,2,3,1,4,3,6,7803840,1973,38,0,1,0
4,1524,2,1,4,2,1,3,2,6,11672274,1988,22,0,0,1
7,1949,2,1,5,1,1,3,1,6,15130317,1970,43,0,0,1
3,1263,2,1,4,5,0,2,3,5,11041216,1988,22,0,0,1
5,1917,3,2,5,2,1,4,2,5,11664534,1991,18,0,1,0
5,1401,2,1,4,1,0,2,2,4,7928914,1989,20,0,1,0
3,723,1,1,2,2,0,4,3,6,8965757,1998,17,0,0,1
7,1660,1,1,4,4,0,2,2,4,18588188,1971,37,1,0,0
3,895,1,1,3,1,1,1,3,4,8863855,2007,5,0,1,0
6,1889,2,1,5,1,1,1,3,6,14311645,1964,45,0,1,0
3,1199,1,1,3,5,0,3,2,4,9417077,1985,25,0,0,1
1,782,1,1,2,5,1,4,1,3,8246582,1998,14,1,0,0
6,1571,1,1,4,1,1,3,2,5,13399659,1987,25,0,0,1
5,1848,3,2,5,4,1,3,2,5,16804511,1987,24,1,0,0
3,1131,1,1,3,5,1,3,1,5,10503346,1990,20,0,0,1
1,1062,1,1,3,5,1,4,1,1,5618545,1991,21,0,1,0
5,1983,3,2,5,5,1,4,2,6,12866619,1986,24,0,1,0
4,1572,2,1,4,5,0,3,3,2,8516565,1987,20,0,1,0
6,1535,1,1,4,2,0,1,3,4,11990068,1975,32,0,0,1
7,1818,2,1,5,4,1,2,3,6,22861680,1975,32,1,0,0
5,1484,2,1,4,1,1,3,3,4,10298655,1984,27,0,0,1
5,2189,3,2,5,5,0,3,3,4,12796192,1994,15,0,0,1
3,1203,2,1,4,1,0,4,1,5,13571827,1997,17,1,0,0
5,1610,2,1,4,1,1,4,3,6,16356891,1985,24,1,0,0
2,863,1,1,3,3,1,2,2,1,6895848,2003,7,0,1,0
1,985,1,1,3,1,0,4,3,5,7744750,1991,20,0,0,1
1,1623,2,2,4,3,0,4,2,4,12439620,1974,38,1,0,0
2,1019,1,1,3,1,0,1,3,2,6903319,1981,29,0,1,0
1,1575,2,2,4,2,1,2,2,6,10576954,2001,9,0,1,0
3,802,1,1,3,3,0,2,1,6,8279261,1998,9,0,0,1
7,1846,2,1,5,4,0,3,1,4,13023948,1973,34,0,0,1
3,759,1,1,2,5,0,4,2,5,8458953,1996,15,0,0,1
5,2060,3,2,5,3,0,3,2,5,17069431,1981,30,1,0,0
5,1503,2,1,4,1,1,2,3,6,11843908,1993,19,0,0,1
4,1853,3,2,5,1,1,2,1,5,9840719,1961,49,0,1,0
7,1739,1,1,4,5,1,2,2,5,21440036,1975,37,1,0,0
1,766,1,1,2,2,1,2,2,6,9131987,1960,50,1,0,0
3,857,1,1,3,3,1,4,1,5,8878226,1981,26,0,0,1
7,1887,2,1,5,1,0,1,3,6,13584064,1974,39,0,1,0
1,1502,2,2,4,4,0,3,1,6,8724596,2004,7,0,1,0
4,1568,2,1,4,2,0,2,1,1,6711751,1979,30,0,0,1
3,918,1,1,3,1,0,2,1,6,11289967,1985,22,1,0,0
2,1289,2,2,4,4,0,4,3,4,15234515,1969,40,1,0,0
5,1941,3,2,5,5,0,2,3,6,12998811,1990,20,0,0,1
4,1730,2,1,4,3,1,2,1,5,11061108,1983,23,0,0,1
4,1513,2,1,4,4,1,1,3,1,12931120,1977,27,1,0,0
4,1762,2,1,4,2,1,2,1,4,9442995,1982,24,0,1,0
6,1970,2,1,5,1,1,4,1,4,12924044,1979,33,0,1,0
4,1702,2,1,4,3,0,3,1,3,12910286,1965,45,1,0,0
4,1726,2,1,4,1,0,3,1,2,7144872,1983,21,0,1,0
3,1243,2,1,4,2,1,3,3,5,16037480,2004,9,1,0,0
